,names,fandoms,ratings,warnings,relationships,freeforms,words,chapters,comments,characters,collections,kudos,bookmarks
0,reverse,Naruto,Explicit,"Major Character Death, Graphic Depictions Of Violence","Hatake Kakashi/Kyuubi | Nine-tails | Kurama, Uchiha Sasuke/Uzumaki Naruto, Kyuubi | Nine-tails | Kurama & Uzumaki Naruto, Umino Iruka/Utakata, Hoshigaki Kisame/Uchiha Obito, Uchiha Shisui/Yamato | Tenzou, ","Time Travel, Fix-It, Family Feels, Team as Family, Angst, Fluff, Bodyswap, only not really?, Moral Ambiguity, Learning to be Human, Dysfunctional People, Dysfunctional People Raising Children, Action/Adventure, Body Dysphoria, to an extent?, Resurrection, At this point I feel I should classify the romance as 'slow burn', ",<generator object Tag._all_strings at 0x000001EB1E2623C0>,79,7632,"Kyuubi | Nine-tails | Kurama, Uzumaki Naruto, Hatake Kakashi, Uchiha Shisui, Uchiha Itachi, Yamato | Tenzou, Gaara (Naruto), Bijuu | Tailed Beasts (Naruto), Han (Naruto), Roushi (Naruto), Nii Yugito, Fuu (Naruto), Momochi Zabuza, Orochimaru (Naruto), Uchiha Obito, Hoshigaki Kisame, Zetsu (Naruto), Uzumaki Kushina, Hatake Sakumo, Jiraiya (Naruto), Tsunade (Naruto), Shiranui Genma, Umino Iruka, ",0,23865,6163
1,backslide,Naruto,Mature,Choose Not To Use Archive Warnings,"Uchiha Sasuke/Uzumaki Naruto, Hatake Kakashi/future!Uzumaki Naruto, Namiashi Raidou/Shiranui Genma, Platonic Uzumaki Naruto/Uchiha Sasuke/Haruno Sakura, ","Time Travel, Alternate Universe - Canon Divergence, slow build romance, Angst, Humor, Fluff, Friendship, (Joking) Marriage Proposals, lots of them - Freeform, Gratuitous Fluff Story (Not Really Meant to Be Taken Seriously), You've been warned, Schmoop, Fox Summons!, Family Feels, Family Fluff, Families of Choice, Kurama adopts all the things, no really all of them, Genin Puppy Piles, team 7 fluff, Lots of that too, Kakashi is ridiculous, so is everyone else though, Self-Indulgent Ficcage Fluff, ",<generator object Tag._all_strings at 0x000001EB1E262660>,32,1959,"Uzumaki Naruto, Uchiha Sasuke, Hatake Kakashi, Shiranui Genma, Namiashi Raidou, Sarutobi Hiruzen, Uchiha Obito, Haruno Sakura, Mitarashi Anko, Yuuhi Kurenai, Dai-nana-han | Team 7 (Naruto), Uchiha Itachi, Tsunade (Naruto), ",0,22756,8354
2,Stormborn,Naruto,Explicit,Choose Not To Use Archive Warnings,"Uchiha Sasuke/Uzumaki Naruto, Nara Shikamaru/Yamanaka Ino, Haruno Sakura/Rock Lee, Slight Jiraiya/Orochimaru, Slight Kakashi/Obito, ","Alternate Universe - Canon Divergence, Reincarnation, Uzushiogakure, More gratuitous fluff stories, Romance, Humor, Secret Identity, Naruto was the Uzukage, Don't look at me like that, Fluff, Families of Choice, Unconventional Families, And somehow Ino became Sasuke's sassy BFF, idek anymore this thing has a life of its own, Sasuke is a huge dork, Naruto is silly, ",<generator object Tag._all_strings at 0x000001EB1F5A9430>,34,1654,"Uzumaki Naruto, Uchiha Sasuke, Umino Iruka, Haku (Naruto), Hatake Kakashi, Yamanaka Ino, Gaara (Naruto), Yakushi Kabuto, Utakata (Naruto), Fuu (Naruto), Inuzuka Kiba, Hyuuga Neji, Tenten (Naruto), Rock Lee, Haruno Sakura, Uchiha Obito, Namikaze Minato, ",0,16135,6425
3,Pulling My Weight,Naruto,Teen And Up Audiences,No Archive Warnings Apply,"Haruno Sakura & Shiranui Genma, Haruno Sakura & Nara Shikamaru, Haruno Sakura & Mitarashi Anko, Choujuurou & Haruno Sakura, Choujuurou/Haruno Sakura/Nara Shikamaru, Nara Shikamaru & Choujuurou, ","BAMF Sakura, essentially what would've happened had the manga actually recognised Sakura's talents early on, aka eventual genjutsu specialist Sakura, Fix-It, Humor, Actual mother-hen Shiranui Genma, Families of Choice, becomes AU from chapter 25 onwards, because honestly fuck Kaguya, I don't have time for Zetsu's bullshit, OT3 ftw, Polyamory, because fuck toxic love triangles let everyone love each other and be merry, Alternate Universe - Canon Divergence, Mental Health Issues, Dubious Morality, blackkat-inspired Neji!kage, Panic Attacks, Post-Traumatic Stress Disorder - PTSD, Inner presented as Dissociative Identity Disorder, Orochimaru Does What Orochimaru Wants (Naruto), Self-Indulgent, Strong Haruno Sakura, Otokage Haruno Sakura, Healthy Relationships, Complete, ",<generator object Tag._all_strings at 0x000001EB1F5A94A0>,43,4137,"Haruno Sakura, Shiranui Genma, Dai-nana-han | Team 7 (Naruto), Hatake Kakashi, Mitarashi Anko, Choujuurou (Naruto), Nara Shikamaru, Orochimaru (Naruto), ",0,12268,3941
4,An Invincible Summer,Naruto,Teen And Up Audiences,Choose Not To Use Archive Warnings,"Uchiha Sasuke/Uzumaki Naruto, Uzumaki Naruto & Uchiha Itachi, Uzumaki Naruto & Hatake Kakashi, Hatake Kakashi/Umino Iruka, ","Alternate Universe, Oiroke no Jutsu | Sexy no Jutsu, Fluff, Fix-It, like i ever write anything else, Seal Master Naruto, Genderfluid Naruto, LITERALLY, non redeemed akatsuki, dont get your hopes up, Author stopped watching Naruto after the Tsunade arc, Natsu Nami Collection, ",<generator object Tag._all_strings at 0x000001EB1F5A9580>,6,1208,"Uzumaki Naruto, Uchiha Itachi, Sarutobi Hiruzen, Hatake Kakashi, Yamanaka Inoichi, Nara Shikaku, Akimichi Chouza, Inuzuka Hana, Yakushi Kabuto, Maito Gai | Might Guy, Gaara (Naruto), Temari (Naruto), Inuzuka Kiba, Haruno Sakura, Yamanaka Ino, Nara Shikamaru, Akimichi Chouji, Hyuuga Hanabi, Hyuuga Neji, Tenten (Naruto), Rock Lee, Hyuuga Hinata, Baki (Naruto), Umino Iruka, Sai (Naruto), Haku (Naruto), Momochi Zabuza, Tsunade (Naruto), Jiraiya (Naruto), Orochimaru (Naruto), ",0,15080,6784
5,In Good Company,Naruto,Mature,No Archive Warnings Apply,"Uchiha Sasuke/Uzumaki Naruto, ","Language, Violence, War, Depression, The Dead Granddad Squad, Implied/Referenced Suicide, Alternate Universe - Canon Divergence, ",<generator object Tag._all_strings at 0x000001EB1F5A9510>,15,2311,"Uchiha Sasuke, Hatake Kakashi, Senju Tobirama, Namikaze Minato, Sarutobi Hiruzen, Uchiha Itachi, Senju Hashirama, ",42,9994,3551
6,A Lewd New World,Naruto,Explicit,Choose Not To Use Archive Warnings,"Uzumaki Naruto/Various, Uzumaki Naruto/(fem) Uchiha Sasuke, Uzumaki Naruto/(fem) Gaara, Uzumaki Naruto/Haruno Sakura, Uzumaki Naruto/Hyuuga Hinata, Uzumaki Kushina/Uzumaki Naruto, (fem) Kyuubi | Nine-tails | Kurama/Uzumaki Naruto, Uzumaki Naruto/Harem, ","Alternate Universe - Gender Changes, Harems, Sex, Smut, Eventual Plot, Breasts, Booty Calls, Large Breasts, Ass Play, Anal Sex, Vaginal Sex, Oral Sex, Mildly Dubious Consent, Multiple Partners, Multiple Pairings, Multiple Orgasms, Breast Fucking, Rough Sex, Rough Kissing, Orgy, Sexual Slavery, Explicit Sexual Content, Master/Pet, Master/Servant, Master/Slave, Light Dom/sub, Dom/sub Play, Hokage Uzumaki Naruto, Female Uchiha Sasuke, Bisexual Female Character, everyone is bi, Shameless Smut, Threesome - F/F/M, Foursome - F/F/F/M, Gangbang, Rape Roleplay, Lactation, Porn With Plot, I Am A Goddamn Pervert, Yuri, Het, ",<generator object Tag._all_strings at 0x000001EB1F5A9660>,57,33,"Uzumaki Naruto, Haruno Sakura, Hyuuga Hinata, Uchiha Sasuke, Gaara, Ootsutsuki Kaguya, ",0,1618,323
7,Flip the Coin,Naruto,Teen And Up Audiences,No Archive Warnings Apply,"Uchiha Sasuke/Uzumaki Naruto, Haruno Sakura & Uchiha Sasuke & Uzumaki Naruto, Uchiha Itachi & Uchiha Sasuke, Uchiha Itachi & Uchiha Izumi & Uchiha Shisui, Uchiha Shisui & Uzumaki Naruto, Mitarashi Anko & Uchiha Izumi, Tsunade & Uzumaki Naruto, Gaara & Uzumaki Naruto, ","Alternate Universe - Canon Divergence, Canon Rewrite, Role Reversal, No Uchiha Massacre, Danzo is out of the picture, so it's nice, but Iruka is dead, less nice, Relationships are for later, Angst and Feels, Developing Friendships, Angry Uzumaki Naruto, Uzumaki Naruto Needs a Hug, but he won't get it, Dai-nana-han | Team 7 (Naruto) Feels, Character Death, Canon-Typical Violence, Worldbuilding, Clan Politics, Angst with a Happy Ending, Family Feels, uchiha family feels, This Is Gonna Take A While, Fuuinjutsu Master Uzumaki Naruto, well he will be at some point for now he's just, fuuinjutsu newbie, POV Alternating, Blood and Injury, no romance in this part, For Want of a Nail, ",<generator object Tag._all_strings at 0x000001EB1F5A95F0>,37,4208,"Uzumaki Naruto, Uchiha Sasuke, Haruno Sakura, Uchiha Itachi, Uchiha Fugaku, Uchiha Mikoto, Hatake Kakashi, Uchiha Shisui, Uchiha Izumi, Yamanaka Ino, Sai (Naruto), Mitarashi Anko, Tsunade (Naruto), Gaara (Naruto), And a whole bunch of others, ",22,6894,1858
8,Trials of Change,Naruto,Mature,Graphic Depictions Of Violence,"Haruno Sakura & Uchiha Sasuke & Uzumaki Naruto, Haruno Sakura & Uchiha Itachi, Haruno Sakura & Uchiha Shisui, Haruno Sakura & Hatake Kakashi, Haruno Sakura & Team Ro, Haruno Sakura & Konoha 12, ","Time Travel, Time Travel Fix-It, Haruno Sakura-centric, Alternate Universe - Canon Divergence, Uzumaki Naruto Needs a Hug, Protective Haruno Sakura, Uchiha Shisui Lives, No Uchiha Massacre, No Romance, at least for now, Cute Uchiha Sasuke, Haruno Sakura Has Issues, Haruno Sakura Deserves Better, Mokuton User Haruno Sakura, Because I can, Strong Female Characters, because kishimoto did them wrong, Developing Friendships, Danzou is scum, but we knew that, stop the war, or at least try, Canon-Typical Violence, Mild Language, pre-genin years, Academy Era, Family Dynamics, from pretty much everyone, bonding over dango, additional warnings in some chapters, ",<generator object Tag._all_strings at 0x000001EB1F5A96D0>,50,4429,"Haruno Sakura, Uzumaki Naruto, Uchiha Sasuke, Yamanaka Ino, Uchiha Itachi, Uchiha Shisui, Haruno Mebuki, Haruno Kizashi, Inner Haruno Sakura, Tsunade (Naruto), Uchiha Mikoto, Uchiha Fugaku, Nara Shikamaru, Akimichi Chouji, Hyuuga Hinata, Inuzuka Kiba, Aburame Shino, Hyuuga Neji, Tenten (Naruto), Rock Lee, Sai (Naruto), Hatake Kakashi, Yamato | Tenzou, Sarutobi Hiruzen, Dai-nana-han | Team 7 (Naruto), Rookie Nine (Naruto), Shiranui Genma, Shizune (Naruto), Jiraiya (Naruto), ANBU (Naruto), ANBU Root, Shimura Danzou, Uchiha Madara, Team Ro (Naruto), Original Characters, ",21,5550,1360
9,Time Flies Like An Arrow,Naruto,Not Rated,Choose Not To Use Archive Warnings,"Other Relationship Tags to Be Added, Past!Haruno Sakura/Past!Yamanaka Ino, ","Time Travel, Alternate Universe - Time Travel, Fix-It, Time Travel Fix-It, Haruno Sakura-centric, BAMF Haruno Sakura, Friendship, Fluff, Families of Choice, POV Haruno Sakura, Strong Haruno Sakura, Dogs, Slow Burn, Family, Everyone Loves Sakura, Because Sakura Loves Everyone, MultiSaku - Freeform, Platonic Female/Male Relationships, Naruto and Sakura are the Ultimate Bros, Angst, Fluff and Angst, Hurt/Comfort, Mokuton, Mokuton User Haruno Sakura, The first fic in a series, ",<generator object Tag._all_strings at 0x000001EB1F5A9740>,36,4131,"Haruno Sakura, Uzumaki Naruto, Yamanaka Ino, Shiranui Genma, Uchiha Shisui, Hatake Kakashi, ",29,8763,2791
